Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,These: Titel,These: These,Position: Position,Position: Begründung
24,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Ein Verbot ist nicht die Lösung. Notwendig ist ein massiver Ausbau der Elektro-Infrastruktur. Ein Ende von Autos mit Verbrennungsmotor darf nicht mit der Vernichtung von Arbeitsplätzen einhergehen. Ein rascher Umstieg auf alternative Antriebsformen wie etwa den Elektromotor oder den Brennstoffzellenantrieb muss getrennt von profitorientierten Unternehmen stattfinden, um wirklich etwas gegen den Klimawandel zu tun. Das ist nur in einer rational und demokratisch geplanten Wirtschaft möglich."
25,ABG,Aktion Bürger für Gerechtigkeit,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Der von Menschen verursachte CO2-bedingte Klimawandel ist erwiesenermaßen falsch. Wir dürfen nicht die Automobilindustrie und ihre Zulieferer zerstören. Auch die Umsetzung zur Abschaffung der Verbrennungsmotoren ist nicht genügend durchdacht, da zum einen nicht ausreichend „grüner“ Strom zur Verfügung steht und zum anderen die Batterien der E-Autos in ihrer Herstellung sehr CO2-aufwendig sind. Das Fahren mit E-Autos ist wegen des Elektrosmogs gesundheitlich sehr bedenklich."
26,dieBasis,Basisdemokratische Partei Deutschland,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Das EU-Gesetz vom März 2023 verbietet ab 2035 faktisch den Verbrennungsmotor, ohne hier klimaneutralen Kraftstoffen eine Chance zu geben. Angesichts der verheerenden Öko-Bilanz von E-Autos muss man hier von ideologischer Gesetzgebung sprechen. dieBasis fordert die Weiterentwicklung und Nutzung der Verbrenner-Technologien und nur sinnvolle umweltverträgliche Anwendungen der Elektromobilität. dieBasis ist für die Rücknahme des vom EU-Parlament beschlossenen Verbrenner-Aus für Neuwagen ab 2035."
27,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Hocheffiziente Verbrennungsmotoren haben einen, im Vergleich zu Elektrofahrzeugen, vergleichbaren Ressourcenbedarf und -verbrauch. Dies gilt insbesondere bei einem elektrischen Energiemix aus konventioneller Grundlast und erneuerbarer Energieerzeugung. Im Wettbewerb der besten Technik werden sich die effizientesten und zuverlässigsten Antriebskonzepte mittelfristig im Markt durchsetzen."
28,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Statt Verbrennerautos gänzlich zu verbieten, die außerhalb der EU weiter fahren werden, wären strenge Auflagen zur Entwicklung verbrauchsärmerer Modelle oder die Förderung klimaneutraler Brennstoffe sinnvoller, zumal so eine heimische Industrie mit Know-How und hunderttausenden gut bezahlten Arbeitsplätzen gesichert würde. E-Autos werden häufig als Zweitautos angeschafft und laden auch schmutzigen Strom. Die Energienetze werden zudem absehbar durch E-Autos überlastet."
29,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Ein schrittweiser Übergang ermöglicht der Automobilindustrie Anpassungen und fördert Innovationen, während die Verfügbarkeit von Fahrzeugen für Verbraucher erhalten bleibt. Es ist jedoch wichtig, strenge Emissionsstandards festzulegen, um Umweltauflagen zu erfüllen und die Luftqualität zu verbessern."
30,KLIMALISTE,Klimaliste Deutschland,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Kandidatenmeinung: Da der Verkehrssektor bis 2035 bereits klimaneutral sein muss, ist der Zulassungsstopp für Verbrennungsmotoren sogar noch vorzuziehen. Der Einsatz sogenannter E-Fuels ist dabei völlig unwirtschaftlich und ineffizient und stellt für die Automobilbranche keine lebenserhaltende Maßnahme für Verbrennungsmotoren dar."
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Es gibt längst effizientere und weniger schädliche Alternativen zu Verbrennungsmotoren. Das Festhalten an dieser veralteten Technologie führt zu direkten Belastungen durch Feinstaub und katastrophalen Konsequenzen durch das Befeuern der Klimakatastrophe - und ist gegenüber nachfolgenden Generationen nicht zu rechtfertigen. Die Verkehrswende weg vom Individualverkehr hin zu einem attraktiven, kostenlosen Nahverkehr ist dringend notwendig."
32,PDV,Partei der Vernunft,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Es geht die EU nichts an, womit sich die Menschen fortbewegen."
33,PdF,Partei des Fortschritts,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,Die PdF will Volksmehrheiten in die Parlamente bringen. Entsprechend einer Zweidrittel-Mehrheit sollen Verbrennungsmotoren auch nach 2035 zugelassen werden dürfen. Wir möchten aber zum Umdenken aufrufen: Die Wirtschaft richtet sich bereits darauf ein (baut Fabriken und forscht deswegen). Mit Verbrennern sind die Klimaziele nicht erreichbar. Alternativen bestehen und werden in 11 Jahren günstiger und effizienter sein. Bürger erhalten keine Nachteile durch plötzliche Öko-Steuern und -Maßnahmen.
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Im Sinne des Klimaschutzes und der Eindämmung der Luftverschmutzung darf das Verbrenner-Aus für Neuzulassungen nicht verschoben werden. Eine Ausnahme können E-Fuels darstellen, um u.a. Engpässe bei Ladekapazitäten zu vermeiden. Generell soll sich jedoch die Individualmobilität ändern, hin zu einem attraktiven Angebot an öffentlichem Nah- und Fernverkehr. Die V-Partei³ fordert hier einen massiven Ausbau und eine kostenfreie Nutzung des ÖPNV."
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme nicht zu,Die Wiederaufnahme der staatlichen Seenotrettung würde das falsche Signal setzen. Je mehr Schiffe im Mittelmeer zur Rettung unterwegs sind desto mehr Menschen machen sich mit seeuntauglichen Booten auf den gefährlichen Weg und bringen sich in Lebensgefahr.
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Jedes Jahr sterben tausende Menschen beim Versuch, das Mittelmeer zu überqueren. Die EU darf die Augen vor diesem unerträglichen Zustand nicht verschließen. Das Völkerrecht verpflichtet dazu, Menschen in Seenot zu retten. Es braucht endlich eine europäische Initiative für eine staatlich koordinierte und finanzierte Seenotrettung. Zugleich wollen wir die staatliche Unterstützung ziviler Organisationen, unter anderem finanziell, verbessern."
3,SPD,Sozialdemokratische Partei Deutschlands,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Das Sterben auf dem Mittelmeer muss aufhören. Die Seenotrettung ist eine Verpflichtung aus dem internationalen Seerecht. Zivile Seenotrettung, die diese Aufgabe und humanitäre Verantwortung übernimmt, Menschen aus Not zu retten, darf demnach auch nicht kriminalisiert werden und wird weiter von uns unterstützt. Letztendlich wollen wir, dass Seenotrettung innerhalb der EU staatlich gewährleistet wird, wie in der Vergangenheit praktiziert. Sicherere Fluchtwege müssen geschaffen werden."
4,AfD,Alternative für Deutschland,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme nicht zu,Für die Seenotrettung ist grundsätzlich die jeweilige nationale Küstenwache verantwortlich. Das gilt auch für die Nicht-EU-Mittelmeeranrainerstaaten. Die AfD unterstützt keinesfalls den Missbrauch der Seenotrettung im Mittelmeer in Form einer oft kriminellen Einschleusung von Migranten in den EU-Raum. Das Abkommen Italiens mit Albanien ist in diesbezüglich vorbildlich. Die Zuwendungen für NGOs aus dem Bundeshaushalt werden wir in diesem Zusammenhang umgehend einstellen.
5,DIE LINKE,DIE LINKE,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Seenotrettung ist nach dem Völkerrecht in jeder Situation verpflichtend. Wir wollen sie öffentlich, verlässlich und legal. Jedes Jahr ertrinken hunderte oder gar tausende Menschen im Mittelmeer. Das ist ein politisches Versagen und muss ein Ende haben."
6,FDP,Freie Demokratische Partei,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"In Zukunft soll Frontex auch die Seenotrettung auf dem Mittelmeer übernehmen, um damit einerseits Menschen vor dem Ertrinken zu retten, andererseits illegale Grenzübertritte zu vermeiden. Idealerweise, indem die Menschen sicher an Orte gebracht werden, wo deren Asylgesuche vor Betreten der Europäischen Union geprüft und beschieden werden, um zu gewährleisten, dass jenen, deren Asylgesuch negativ beschieden wird, die Einreise verwehrt wird."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Ein Anfang wäre, private Seenotrettung nicht über Gebühr zu behindern."
8,FREIE WÄHLER,FREIE WÄHLER,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Europa muss dafür sorgen, dass nicht jedes Jahr tausende Menschen im Mittelmeer ertrinken. Dafür muss, dass das In-See-Stechen verhindert wird, dass ggf. eine umgehende Rückführung noch auf See durch den EU-Außengrenzschutz erfolgt und dass Nachbarstaaten, die dabei nicht kooperieren, mit Sanktionen belegt werden. Institutionalisierte zivile Seenotrettung ist in die Befehlsstrukturen des EU-Außengrenzschutzes einzubinden oder zu unterbinden. Hoheitliche Aufgaben sind hoheitlich durchzuführen."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Das Mittelmeer darf kein Massengrab mehr sein! Wir fordern daher ein effektives, flächendeckendes, auf europäischer Ebene koordiniertes Seenotrettungsprogramm mit der Zielsetzung, Menschenleben zu schützen. Jedes Schiff, welches gerettete Menschen an Bord hat, hat das Recht auf einen sicheren Hafen an nah gelegenen EU-Küstenländern."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Laut internationalem Seerecht, das auch die EU-Mitgliedstaaten unterzeichnet haben, müssen alle Menschen, die in Seenot geraten sind, gerettet werden. Dieser Verpflichtung müssen die EU-Mitgliedstaaten nachkommen. Das Mittelmeer darf nicht zum Grab vieler Tausend Flüchtlinge werden. Das Schlepperwesen ist durch Eröffnung sicherer und legaler Fluchtwege zu bekämpfen."
11,FAMILIE,Familien-Partei Deutschlands,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Es ist bekannt das private Seenotretter mit Schleppern zusammenwirken. Um die Flüchtlingswelle über den Seeweg zu durchbrechen befürworten wir diesen Vorstoß. Wir dürfen auch nicht vergessen, dass mehr Menschen über den Landweg sterben. Wir müssen die Fluchtursachen entschiedener bekämpfen, dazu klare einheitliche Regeln der Unterbringung, Versorgung und Asylverfahren Europaweit. Im Europaparlament haben wir dazu einen nachhaltigen Plan mit direkter Zurückführung bei Ablehnung vorgestellt."
12,Volt,Volt Deutschland,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Volt will eine europäische Seenotrettungsorganisation gründen. Diese soll aber nicht für den Grenzschutz zuständig sein und keine militärischen Ziele verfolgen. Volt will, dass Sterben im Mittelmeer stoppen."
13,PIRATEN,Piratenpartei Deutschland,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme nicht zu,"Seenotrettung ist Völkerecht und verpflichtende Aufgabe aller Mitgliedsstaaten. Warum sollte eine zusätzliche Behörde geschaffen werden? Die PIRATEN verurteilen die Kriminalisierung aller Menschen und Organisationen, die Schutzsuchenden helfen. Die Kriminalisierung von humanitärer Hilfe untergräbt grundsätzlich den Grundsatz der Rechtssicherheit und damit die Rechtsstaatlichkeit in der EU."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Die EU-Migrationspolitik verhindert aktuell eine sichere Überfahrt von Migrant:innen in die Festung Europa. Such- und Rettungsaktionen werden verzögert und Rettungsschiffe der Seenotrettung behindert. Die EU-Grenzschutzagentur FRONTEX beteiligt sich an diesen, zahlreich dokumentierten Rechtsbrüchen. Deshalb wollen wir sie durch eine europäische Such- und Rettungsmission im Mittelmeerraum ersetzen."
15,HEIMAT,Die Heimat,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme nicht zu,"Seenotretter machen sich zu nützlichen Helfern der Schlepper-Mafia. Sie sorgen erst dafür, dass sich unzählige Menschen dem Risiko einer Fahrt über das Mittelmeer aussetzen."
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Nach internationalem Seerecht sind alle Schiffe überall auf See dazu verpflichtet, in Seenot geratenen Menschen Hilfe zu leisten. Ergänzend dazu wäre es denkbar, dass die EU eine eigene Flotte aufbaut, um Menschen, die sich in Seenot befinden, wieder sicher an ihren Herkunftsort zurückzubringen und Odysseen nach Europa zu vermeiden."
17,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,neutral,"Die Partei für schulmedizinische Verjüngungsforschung ist eine Ein-Themen-Partei, deren einziges Ziel es ist, die Entwicklung wirksamer Medizin gegen Alterskrankheiten durch wesentlich mehr staatliche Investitionen zu beschleunigen. Mehr als 100.000 Menschen sterben täglich an den Folgen des Alterns. Mit zukünftiger Medizin werden Menschen durch Verjüngung wahrscheinlich nicht mehr an Alterskrankheiten oder hohem Alter sterben und tausende Jahre gesund leben können."
18,BIG,Bündnis für Innovation & Gerechtigkeit,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Dies ist notwendig, um sicherzustellen, dass Menschen in Seenot Hilfe erhalten und dass die Verpflichtungen der EU zur Rettung von Leben und zur Einhaltung internationaler Menschenrechtsstandards erfüllt werden. Die aktuellen Rettungsmaßnahmen sind unzureichend, eine koordinierte EU-Mission wäre effektiver."
19,Bündnis C,Bündnis C - Christen für Deutschland,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme nicht zu,"Seenotrettung befeuert das Geschäft von Schleppern. Wir setzen uns für Asylzentren in den Herkunftsländern ein, damit die Bedürftigsten eine Chance auf Asyl in Europa erhalten und nicht nur diejenigen, die es über das Mittelmeer schaffen - oft mit Hilfe krimineller Schlepper."
20,PdH,Partei der Humanisten,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Seenotrettung ist ein Menschenrecht. Anstatt mit privaten Akteuren sollte die EU dieser Aufgabe hoheitlich nachkommen. Grenzschutz und Seenotrettung im Mittelmeer sind Staatsaufgabe, und für diese Aufgabe muss die EU angemessen ausgestattet sein. Dies hat auch den Vorteil, dass Migranten sofort zentral registriert und Asylverfahren eingeleitet werden können."
21,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Seenotrettung ist eine moralische Pflicht. Derzeit wird sie zu großen Teilen von undurchsichtigen, privaten Organisationen mit teils unklaren bis zweifelhaften Absichten durchgeführt. Die MENSCHLICHE WELT setzt sich für die Beseitigung der Fluchtursachen durch Friedenspolitik und eine gerechte internationale Wirtschaftspolitik der EU ein. Dadurch kann die Seenotrettung beendet werden. Solange die Notwendigkeit zur Seenotrettung besteht, sollte sie von der EU aufgebaut werden."
22,DKP,Deutsche Kommunistische Partei,3,Seenotrettung,Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.,stimme zu,"Die Seenotrettung sollte jedoch nicht durch die Institutionen der EU-Staaten erfolgen, sondern durch die freien, effektiven und engagierten Hilfsorganisationen. Entsprechende auskömmliche Förderung ist nötig."
